X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399362.35,129328.28,25147632,2025/09/27 09:12:12+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1 - 21 BLOCK OF MISSISSIPPI AVENUE SE,399362.35,129328.28,8,8D,7,707,Cluster 39,009803 2,9803,Precinct 124,38.83174284,-77.00734393,,2025/09/27 05:45:00+00,,811388473,
397497.96,138469.83,25147753,2025/09/27 18:00:24+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF S STREET NW,397497.96,138469.83,2,2F,3,307,Cluster 7,005001 1,5001,Precinct 16,38.91409025,-77.0288497,,2025/09/25 14:51:00+00,2025/09/25 14:52:00+00,811388474,
397228.83,137798.13,25147976,2025/09/27 23:55:49+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 14TH STREET NW,397228.83,137798.13,2,2F,2,208,Cluster 7,005203 2,5203,Precinct 17,38.90803854,-77.03195018,,2025/09/27 22:24:00+00,2025/09/27 23:52:00+00,811388475,
397616.21,142721.04,25148239,2025/09/28 13:47:26+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5100 - 5199 BLOCK OF GEORGIA AVENUE NW,397616.21,142721.04,4,4D,4,403,Cluster 18,002101 4,2101,Precinct 56,38.95238677,-77.02750099,,2025/09/28 12:49:00+00,2025/09/28 13:45:00+00,811388476,
394459.18,141888.04,25149027,2025/09/30 01:03:44+00,EVENING,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2,203,Cluster 12,001303 1,1303,Precinct 34,38.94486864,-77.06391585,,2025/09/30 00:03:00+00,2025/09/30 00:45:00+00,811389279,
402307.31,139388.59,25149292,2025/09/30 15:55:46+00,DAY,OTHERS,THEFT F/AUTO,2200 - 2399 BLOCK OF CHANNING STREET NE,402307.31,139388.59,5,5C,5,503,Cluster 22,011100 3,11100,Precinct 72,38.92236728,-76.97339254,,2025/09/30 14:00:00+00,2025/09/30 14:30:00+00,811389280,
405571.65,136802.07,25149877,2025/10/01 18:44:22+00,DAY,OTHERS,THEFT/OTHER,4600 - 4699 BLOCK OF GAULT PLACE NE,405571.65,136802.07,7,7C,6,602,Cluster 30,007804 1,7804,Precinct 98,38.8990524,-76.93576979,,2025/10/01 02:00:00+00,2025/10/01 12:00:00+00,811389281,
404040.14,133462.68,25150312,2025/10/02 07:08:22+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3432 - 3599 BLOCK OF TEXAS AVENUE SE,404040.14,133462.68,7,7B,6,605,Cluster 34,009901 2,9901,Precinct 109,38.86897827,-76.95344473,,2025/10/02 06:16:00+00,2025/10/02 07:10:00+00,811389282,
401897.56,135000.25,25150723,2025/10/03 03:17:00+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1800 - 1899 BLOCK OF E STREET SE,401897.56,135000.25,7,7F,1,107,Cluster 26,006804 1,6804,Precinct 80,38.88283654,-76.97812982,,2025/10/02 23:29:00+00,2025/10/02 23:30:00+00,811389283,
399215.9,144429.24,25151101,2025/10/03 21:31:31+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,6400 - 6499 BLOCK OF NORTH CAPITOL STREET,399215.9,144429.24,4,4B,4,406,Cluster 19,009505 2,9505,Precinct 64,38.96777756,-77.00904785,,2025/10/03 19:20:00+00,2025/10/03 20:56:00+00,811389284,
392366.14,137963.87,25151140,2025/10/03 23:10:01+00,EVENING,OTHERS,ROBBERY,4550 - 4596 BLOCK OF MACARTHUR BOULEVARD NW,392366.14,137963.87,3,3D,2,205,Cluster 13,000802 1,802,Precinct 7,38.9095028,-77.08801635,,2025/10/03 20:00:00+00,2025/10/03 20:05:00+00,811389285,
399605.98,134742.78,25139524,2025/09/12 15:34:44+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF H STREET SE,399605.98,134742.78,8,8F,1,106,Cluster 27,007203 3,7203,Precinct 131,38.88051911,-77.0045411,CAPITOL RIVERFRONT,2025/09/12 01:00:00+00,2025/09/12 01:30:00+00,811390162,
395506.6,136689.93,25140447,2025/09/14 02:55:06+00,EVENING,OTHERS,BURGLARY,2400 - 2448 BLOCK OF VIRGINIA AVENUE NW,395506.6,136689.93,2,2A,2,207,Cluster 5,005602 2,5602,Precinct 3,38.89804837,-77.05179937,,2025/09/13 04:00:00+00,,811390163,
397229.1,138975.93,25141704,2025/09/16 14:06:58+00,DAY,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,397229.1,138975.93,1,1B,3,305,Cluster 3,004401 2,4401,Precinct 22,38.91864856,-77.03195182,,2025/09/16 13:14:00+00,,811390164,
398098.8604,136603.1061,25142288,2025/09/17 23:01:41+00,EVENING,OTHERS,THEFT/OTHER,7TH STREET NW AND F STREET NW,398098.8604,136603.1061,2,2C,1,101,Cluster 8,005801 2,5801,Precinct 129,38.89727566,-77.02191587,DOWNTOWN,2025/09/17 14:45:00+00,2025/09/17 17:05:00+00,811390165,
398758.71,145213.06,25142449,2025/09/18 01:16:12+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,1702,Precinct 63,38.97483787,-77.01432486,,2025/09/17 22:07:00+00,2025/09/17 22:35:00+00,811390166,
399676.05,143865.15,25142671,2025/09/18 14:29:15+00,DAY,OTHERS,THEFT F/AUTO,200 - 299 BLOCK OF PEABODY STREET NE,399676.05,143865.15,4,4B,4,406,Cluster 19,009505 1,9505,Precinct 65,38.96269639,-77.00373784,,2025/09/18 00:00:00+00,2025/09/18 10:00:00+00,811390167,
398735.5,145069.03,25142709,2025/09/18 16:53:42+00,DAY,OTHERS,THEFT F/AUTO,6900 - 6999 BLOCK OF WILLOW STREET NW,398735.5,145069.03,4,4B,4,401,Cluster 17,001702 2,1702,Precinct 63,38.97354038,-77.01459244,,2025/09/18 12:20:00+00,2025/09/18 12:30:00+00,811390168,
401781.71,141157.72,25143868,2025/09/20 12:28:05+00,DAY,OTHERS,THEFT F/AUTO,1800 - 1849 BLOCK OF RANDOLPH STREET NE,401781.71,141157.72,5,5B,5,504,Cluster 22,009400 2,9400,Precinct 69,38.93830537,-76.97944907,,2025/09/18 21:40:00+00,2025/09/18 22:10:00+00,811390169,
395165.26,140996.48,25144509,2025/09/21 18:10:01+00,DAY,OTHERS,THEFT F/AUTO,2600 - 2899 BLOCK OF QUEBEC STREET NW,395165.26,140996.48,3,3C,2,203,Cluster 15,001304 4,1304,Precinct 34,38.93684138,-77.05576462,,2025/09/21 02:00:00+00,2025/09/21 16:00:00+00,811390170,
397577.63,143785.94,25144687,2025/09/22 00:36:28+00,EVENING,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,397577.63,143785.94,4,4B,4,402,Cluster 17,001901 1,1901,Precinct 58,38.96197956,-77.02794983,,2025/09/21 23:01:00+00,2025/09/21 23:15:00+00,811390171,
399878.21,137742.29,25144885,2025/09/22 14:04:28+00,DAY,OTHERS,BURGLARY,300 - 385 BLOCK OF FLORIDA AVENUE NE,399878.21,137742.29,6,6C,5,501,Cluster 25,010602 4,10602,Precinct 144,38.90753988,-77.00140417,NOMA,2025/09/20 15:00:00+00,2025/09/22 14:03:00+00,811390172,
396406.68,138780.74,25145032,2025/09/22 19:25:04+00,EVENING,OTHERS,THEFT/OTHER,1776 - 1799 BLOCK OF FLORIDA AVENUE NW,396406.68,138780.74,2,2B,3,301,Cluster 6,004201 2,4201,Precinct 141,38.91688725,-77.0414343,,2025/09/20 00:00:00+00,2025/09/20 15:00:00+00,811390173,
400504.02,129677.18,25147231,2025/09/27 11:14:41+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3851 BLOCK OF 9TH STREET SE,400504.02,129677.18,8,8E,7,706,Cluster 39,009801 1,9801,Precinct 121,38.83488598,-76.99419486,,2025/09/24 12:00:00+00,2025/09/24 20:00:00+00,811397594,
399531.54,134674.78,25147391,2025/09/26 22:47:08+00,EVENING,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF NEW JERSEY AVENUE SE,399531.54,134674.78,6,8F,1,106,Cluster 27,007202 3,7202,Precinct 131,38.8799065,-77.00539898,CAPITOL RIVERFRONT,2025/09/25 15:00:00+00,2025/09/26 15:30:00+00,811397595,
401257.0164,135070.5435,25147811,2025/09/27 18:22:09+00,DAY,OTHERS,THEFT F/AUTO,400 - 499 BLOCK OF 14TH STREET SE,401257.0164,135070.5435,6,6B,1,107,Cluster 26,006900 2,6900,Precinct 91,38.88347092,-76.98551223,,2025/09/27 16:00:00+00,2025/09/27 18:00:00+00,811397596,
397171.11,137408.25,25148661,2025/09/29 14:01:26+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 3,10100,Precinct 17,38.90452619,-77.03261406,DOWNTOWN,2025/09/29 11:07:00+00,2025/09/29 11:39:00+00,811397597,
399446.26,138633.13,25148919,2025/09/30 17:50:04+00,DAY,OTHERS,THEFT/OTHER,33 - 119 BLOCK OF T STREET NE,399446.26,138633.13,5,5F,5,502,Cluster 21,008701 2,8701,Precinct 75,38.9155647,-77.00638501,,2025/09/29 20:30:00+00,2025/09/29 21:10:00+00,811397598,
400204.38,143293.76,25149666,2025/10/01 04:21:39+00,MIDNIGHT,OTHERS,THEFT/OTHER,531 - 699 BLOCK OF MADISON STREET NE,400204.38,143293.76,4,4B,4,406,Cluster 19,009507 1,9507,Precinct 65,38.95754919,-76.99764197,,2025/10/01 03:25:00+00,2025/10/01 03:35:00+00,811397599,
397633.43,144615.42,25150105,2025/10/01 23:28:32+00,EVENING,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,397633.43,144615.42,4,4A,4,402,Cluster 17,001804 2,1804,Precinct 61,38.96945187,-77.02730886,,2025/10/01 22:45:00+00,,811397600,
401418.87,136044.79,25150112,2025/10/02 01:17:25+00,EVENING,OTHERS,THEFT/OTHER,200 - 208 BLOCK OF 15TH STREET NE,401418.87,136044.79,7,7D,1,108,Cluster 25,008002 2,8002,Precinct 86,38.89224705,-76.98364477,,2025/10/01 12:00:00+00,2025/10/01 19:00:00+00,811397601,
399411.27,129158.66,25150759,2025/10/03 05:26:55+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1 - 99 BLOCK OF BRANDYWINE STREET SE,399411.27,129158.66,8,8D,7,708,Cluster 39,009810 2,9810,Precinct 124,38.83021486,-77.00678036,,2025/10/03 01:12:00+00,2025/10/03 01:17:00+00,811397602,
397162.06,140182.43,25151594,2025/10/04 21:23:20+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,2802,Precinct 39,38.92951689,-77.03272986,,2025/10/04 20:24:00+00,2025/10/04 20:40:00+00,811397603,
400436.83,140334.64,25136148,2025/09/06 07:05:11+00,MIDNIGHT,GUN,ROBBERY,3300 - 3399 BLOCK OF 8TH STREET NE,400436.83,140334.64,5,5F,5,502,Cluster 21,009201 1,9201,Precinct 74,38.93089252,-76.99496196,,2025/09/06 04:00:00+00,2025/09/06 04:05:00+00,811397793,
399887.3,139269.45,25137675,2025/09/09 04:36:03+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,300 - 399 BLOCK OF BRYANT STREET NE,399887.3,139269.45,5,5F,5,502,Cluster 21,009203 2,9203,Precinct 74,38.92129705,-77.00129962,,2025/09/08 23:05:00+00,2025/09/09 03:54:00+00,811397794,
399078.88,136928.38,25137839,2025/09/09 22:48:06+00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF H STREET NW,399078.88,136928.38,6,6E,1,102,Cluster 8,004702 1,4702,Precinct 1,38.90020742,-77.01061888,NOMA,2025/09/09 15:25:00+00,2025/09/09 16:03:00+00,811397795,
401319.7,138348.31,25137951,2025/09/09 19:52:59+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF PROVIDENCE STREET NE,401319.7,138348.31,5,5D,5,506,Cluster 23,008803 1,8803,Precinct 76,38.91299813,-76.98478347,,2025/09/09 19:16:00+00,2025/09/09 19:54:00+00,811397796,
400838.6209,132067.4619,25138459,2025/09/10 18:32:57+00,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,2600 - 2657 BLOCK OF DOUGLASS PLACE SE,400838.6209,132067.4619,8,8B,7,703,Cluster 37,007406 1,7406,Precinct 118,38.85641844,-76.99033812,,2025/09/10 16:48:00+00,,811397797,
395288.01,139501.97,25138495,2025/09/11 01:32:02+00,EVENING,OTHERS,THEFT/OTHER,2400 - 2798 BLOCK OF CALVERT STREET NW,395288.01,139501.97,3,3C,2,204,Cluster 15,000501 3,501,Precinct 26,38.92337904,-77.05433854,,2025/09/10 18:59:00+00,2025/09/10 20:08:00+00,811397798,
401897.56,135000.25,25138863,2025/09/11 13:33:10+00,DAY,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF E STREET SE,401897.56,135000.25,6,6B,1,107,Cluster 26,006804 1,6804,Precinct 87,38.88283654,-76.97812982,,2025/09/10 23:00:00+00,2025/09/10 23:35:00+00,811397799,
401668.86,135475.37,25423903,2025/09/09 11:31:22+00,DAY,OTHERS,THEFT/OTHER,200 - 243 BLOCK OF 17TH STREET SE,401668.86,135475.37,7,7D,1,107,Cluster 26,006801 2,6801,Precinct 87,38.88711707,-76.98076453,,2025/09/06 18:25:00+00,2025/09/06 21:00:00+00,811398629,
393528.27,141219.58,25423911,2025/09/09 16:03:43+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3899 BLOCK OF WISCONSIN AVENUE NW,393528.27,141219.58,3,3A,2,203,Cluster 15,000600 4,600,Precinct 29,38.93884059,-77.074648,,2025/09/07 20:45:00+00,2025/09/07 22:15:00+00,811398630,
393843.9,137761.3,25424018,2025/09/16 11:32:23+00,DAY,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF O STREET NW,393843.9,137761.3,2,2E,2,206,Cluster 4,000201 2,201,Precinct 6,38.90768958,-77.07097637,,2025/09/14 22:00:00+00,2025/09/14 23:40:00+00,811398631,
394450.62,137863.91,25141399,2025/09/16 01:00:46+00,EVENING,OTHERS,THEFT/OTHER,1401 - 1498 BLOCK OF WISCONSIN AVENUE NW,394450.62,137863.91,2,2E,2,206,Cluster 4,000102 2,102,Precinct 5,38.90861796,-77.06398206,GEORGETOWN,2025/09/15 21:07:00+00,2025/09/15 22:13:00+00,811398937,
398181.84,142445.89,25141724,2025/09/16 16:24:06+00,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF EMERSON STREET NW,398181.84,142445.89,4,4D,4,407,Cluster 18,002201 1,2201,Precinct 55,38.9499095,-77.02097477,,2025/09/15 23:30:00+00,2025/09/16 11:00:00+00,811398938,
400589.75,136927.77,25141850,2025/09/16 18:43:35+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF H STREET NE,400589.75,136927.77,6,6A,1,104,Cluster 25,008410 1,8410,Precinct 82,38.90020221,-76.99320123,,2025/09/16 17:40:00+00,2025/09/16 17:46:00+00,811398939,
407304.93,136672.94,25142121,2025/09/17 07:30:18+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,614 - 629 BLOCK OF EASTERN AVENUE NE,407304.93,136672.94,7,7C,6,608,Cluster 31,007807 1,7807,Precinct 95,38.89787645,-76.91578985,,2025/09/17 04:32:00+00,2025/09/17 07:23:00+00,811398940,
400838.6209,132067.4619,25142670,2025/09/18 14:15:02+00,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,2600 - 2657 BLOCK OF DOUGLASS PLACE SE,400838.6209,132067.4619,8,8B,7,703,Cluster 37,007406 1,7406,Precinct 118,38.85641844,-76.99033812,,2025/09/18 10:46:00+00,2025/09/18 12:55:00+00,811398941,
396878.13,139879.12,25143745,2025/09/22 02:42:48+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1500 - 1599 BLOCK OF COLUMBIA ROAD NW,396878.13,139879.12,1,1A,3,302,Cluster 2,002802 2,2802,Precinct 36,38.92678361,-77.03600304,,2025/09/20 03:44:00+00,2025/09/20 04:39:00+00,811398942,
393645.65,140765.55,25144897,2025/09/22 15:10:22+00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2,204,Cluster 14,001002 4,1002,Precinct 29,38.93475141,-77.07328988,,2025/09/22 13:36:00+00,2025/09/22 14:30:00+00,811398943,
397056.55,139838.14,25145042,2025/09/22 20:46:38+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF HARVARD STREET NW,397056.55,139838.14,1,1A,3,304,Cluster 2,003702 2,3702,Precinct 36,38.92641507,-77.03394523,,2025/09/22 19:03:00+00,2025/09/22 19:43:00+00,811398944,
398698.52,138541.01,25145557,2025/09/23 18:39:05+00,DAY,OTHERS,THEFT F/AUTO,200 - 299 BLOCK OF RHODE ISLAND AVENUE NW,398698.52,138541.01,1,1B,3,306,Cluster 3,003400 3,3400,Precinct 20,38.91473407,-77.01500681,,2025/09/23 17:20:00+00,2025/09/23 18:12:00+00,811398945,
400232.9163,135255.0956,25146484,2025/09/25 13:43:18+00,DAY,OTHERS,THEFT/OTHER,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,400232.9163,135255.0956,6,6B,1,107,Cluster 26,006500 1,6500,Precinct 89,38.8851343,-76.99731546,CAPITOL HILL,2025/09/25 12:02:00+00,2025/09/25 12:03:00+00,811398946,
397179.8,137320.69,25147607,2025/09/27 06:40:24+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1419 BLOCK OF L STREET NW,397179.8,137320.69,2,2C,2,207,Cluster 8,010100 3,10100,Precinct 129,38.90373744,-77.03251351,DOWNTOWN,2025/09/27 05:31:00+00,,811398947,
397700.05,136885.32,25147872,2025/09/28 17:56:09+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF H STREET NW,397700.05,136885.32,2,2C,2,209,Cluster 8,005802 5,5802,Precinct 129,38.89981699,-77.0265142,DOWNTOWN,2025/09/27 19:39:00+00,2025/09/28 00:14:00+00,811398948,
398010,137782.89,25147971,2025/09/28 00:10:12+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF 8TH STREET NW,398010,137782.89,2,2G,3,307,Cluster 7,004902 1,4902,Precinct 18,38.90790337,-77.02294365,,2025/09/27 23:08:00+00,2025/09/27 23:40:00+00,811398949,
398818.25,142447.25,25148083,2025/09/28 03:59:52+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,100 - 199 BLOCK OF EMERSON STREET NW,398818.25,142447.25,4,4D,4,407,Cluster 19,002202 1,2202,Precinct 57,38.94992283,-77.01363298,,2025/09/27 21:15:00+00,2025/09/28 02:50:00+00,811398950,
393731.67,139295.76,25148230,2025/09/28 12:51:46+00,DAY,OTHERS,THEFT F/AUTO,2301 - 2499 BLOCK OF WISCONSIN AVENUE NW,393731.67,139295.76,3,3B,2,204,Cluster 14,000300 1,300,Precinct 11,38.92151171,-77.07228432,,2025/09/26 12:36:00+00,2025/09/26 12:43:00+00,811398951,
395818.14,137411.39,25148885,2025/09/29 20:23:10+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW HAMPSHIRE AVENUE NW,395818.14,137411.39,2,2A,2,207,Cluster 6,010700 1,10700,Precinct 4,38.90454908,-77.04821237,,2025/09/29 17:31:00+00,2025/09/29 20:00:00+00,811398952,
398282.36,140613.05,25149747,2025/10/01 14:31:33+00,DAY,OTHERS,THEFT F/AUTO,400 - 499 BLOCK OF MANOR PLACE NW,398282.36,140613.05,1,1E,4,409,Cluster 2,003200 2,3200,Precinct 43,38.93339895,-77.01981056,,2025/09/20 16:00:00+00,2025/10/23 12:30:00+00,811398953,
398098.96,137070.45,25150644,2025/10/03 00:16:50+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,900 - 979 BLOCK OF 7TH STREET NW,398098.96,137070.45,2,2C,1,101,Cluster 8,005802 5,5802,Precinct 129,38.90148566,-77.02191601,DOWNTOWN,2025/10/02 23:00:00+00,2025/10/03 00:02:00+00,811398954,
401555.92,133155.49,25151448,2025/10/04 15:25:54+00,DAY,OTHERS,THEFT/OTHER,1533 - 1600 BLOCK OF MARION BARRY AVENUE SE,401555.92,133155.49,8,8A,6,607,Cluster 34,007605 2,7605,Precinct 112,38.86621888,-76.98207154,ANACOSTIA,2025/10/04 14:46:00+00,2025/10/04 15:15:00+00,811398955,
398099.12,138058.27,25424051,2025/09/17 23:31:41+00,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF 7TH STREET NW,398099.12,138058.27,2,2G,3,307,Cluster 7,004901 2,4901,Precinct 18,38.91038429,-77.0219169,,2025/09/16 10:00:00+00,2025/09/16 10:30:00+00,811398974,
396230.44,137254.11,25424139,2025/09/25 11:01:37+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 19TH STREET NW,396230.44,137254.11,2,2C,2,207,Cluster 6,010700 1,10700,Precinct 17,38.90313411,-77.04345813,GOLDEN TRIANGLE,2025/09/24 22:00:00+00,2025/09/25 00:00:00+00,811398975,
398628.2,138737.46,25424261,2025/10/02 11:04:02+00,DAY,OTHERS,THEFT/OTHER,1900 - 1923 BLOCK OF 3RD STREET NW,398628.2,138737.46,1,1B,3,306,Cluster 3,003400 1,3400,Precinct 20,38.91650365,-77.01581803,,2025/10/01 17:00:00+00,2025/10/01 20:00:00+00,811398976,
396746.97,137976.41,25137313,2025/09/08 16:52:25+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,396746.97,137976.41,2,2B,2,208,Cluster 6,005303 2,5303,Precinct 15,38.9096429,-77.03750663,,2025/09/08 16:08:00+00,2025/09/08 16:12:00+00,811400117,
397754.16,139859.27,25137514,2025/09/09 03:54:33+00,MIDNIGHT,OTHERS,THEFT/OTHER,2818 - 2899 BLOCK OF SHERMAN AVENUE NW,397754.16,139859.27,1,1A,3,304,Cluster 2,003500 1,3500,Precinct 37,38.92660747,-77.02590014,,2025/09/08 22:19:00+00,2025/09/08 22:57:00+00,811400118,
400702.95,140622.34,25138653,2025/09/11 00:11:28+00,EVENING,OTHERS,BURGLARY,1000 - 1199 BLOCK OF NEWTON STREET NE,400702.95,140622.34,5,5B,5,504,Cluster 22,009301 2,9301,Precinct 68,38.93348403,-76.99189245,,2025/09/10 21:30:00+00,2025/09/10 22:00:00+00,811400119,
402071.3,131148.35,25140002,2025/09/13 06:37:08+00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,1900 - 2199 BLOCK OF SAVANNAH TERRACE SE,402071.3,131148.35,8,8C,7,704,Cluster 38,007403 1,7403,Precinct 116,38.84813665,-76.976139,,2025/09/13 05:36:00+00,,811400120,
392375.89,141282.86,25140130,2025/09/13 15:12:29+00,DAY,OTHERS,THEFT/OTHER,4400 - 4500 BLOCK OF MASSACHUSETTS AVENUE NW,392375.89,141282.86,3,3E,2,205,Cluster 13,000903 1,903,Precinct 9,38.93940139,-77.0879408,,2025/09/13 13:27:00+00,2025/09/13 13:50:00+00,811400121,
393645.65,140765.55,25140389,2025/09/14 05:35:24+00,MIDNIGHT,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2,204,Cluster 14,001002 4,1002,Precinct 29,38.93475141,-77.07328988,,2025/09/13 22:05:00+00,2025/09/14 00:23:00+00,811400122,
401541.4869,132764.6911,25140455,2025/09/14 03:13:54+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1600 - 1665 BLOCK OF GALEN STREET SE,401541.4869,132764.6911,8,8A,7,701,Cluster 28,007504 1,7504,Precinct 114,38.86269842,-76.98223873,,2025/09/14 01:47:00+00,2025/09/14 03:15:00+00,811400123,
396457.37,137321.55,25140730,2025/09/14 18:23:27+00,DAY,OTHERS,THEFT F/AUTO,1718 - 1799 BLOCK OF L STREET NW,396457.37,137321.55,2,2C,2,207,Cluster 6,010700 1,10700,Precinct 17,38.90374258,-77.04084227,GOLDEN TRIANGLE,2025/09/14 00:00:00+00,2025/09/14 05:00:00+00,811400124,
397694.83,146283.34,25141266,2025/09/15 19:14:36+00,EVENING,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,397694.83,146283.34,4,4A,4,401,Cluster 16,001600 1,1600,Precinct 62,38.98447704,-77.02660595,,2025/09/15 17:21:00+00,2025/09/15 17:41:00+00,811400125,
405836.97,136773.2,25136502,2025/09/07 00:28:14+00,EVENING,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405836.97,136773.2,7,7C,6,602,Cluster 31,007804 1,7804,Precinct 98,38.8987906,-76.93271142,,2025/09/06 23:52:00+00,2025/09/07 00:10:00+00,811401221,
397216.27,137538.44,25136909,2025/09/07 22:52:25+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1499 BLOCK OF MASSACHUSETTS AVENUE NW,397216.27,137538.44,2,2F,3,307,Cluster 8,005003 2,5003,Precinct 17,38.90569913,-77.03209394,,2025/09/07 19:55:00+00,2025/09/07 22:29:00+00,811401222,
400589.8367,135201.3037,25137048,2025/09/08 02:19:47+00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF SOUTH CAROLINA AVENUE SE,400589.8367,135201.3037,6,6B,1,107,Cluster 26,006700 3,6700,Precinct 88,38.88464956,-76.99320171,,2025/09/07 20:00:00+00,2025/09/08 01:30:00+00,811401223,
401249.74,138295.18,25137437,2025/09/08 20:43:04+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF CENTRAL PLACE NE,401249.74,138295.18,5,5D,5,506,Cluster 23,008803 1,8803,Precinct 76,38.91251962,-76.98559023,,2025/09/07 21:00:00+00,2025/09/08 20:00:00+00,811401224,
397874.42,134688.2,25137751,2025/09/09 13:25:34+00,DAY,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF MAINE AVENUE SW,397874.42,134688.2,6,6D,1,103,Cluster 9,010202 5,10202,Precinct 142,38.88002495,-77.02449724,SOUTHWEST,2025/09/09 12:20:00+00,2025/09/09 12:59:00+00,811401225,
405486.6601,136549.4518,25137761,2025/09/09 14:35:57+00,DAY,OTHERS,THEFT F/AUTO,4500 - 4599 BLOCK OF EDSON PLACE NE,405486.6601,136549.4518,7,7F,6,602,Cluster 30,007803 2,7803,Precinct 98,38.89677726,-76.93675158,,2025/09/03 21:30:00+00,2025/09/07 14:08:00+00,811401226,
394895.4,140924.9,25137841,2025/09/09 16:19:10+00,DAY,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,1304,Precinct 34,38.93619504,-77.05887669,,2025/09/09 14:59:00+00,,811401227,
